benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
atax,MEDIUM,10,ALL_BRAM,1.0,O0,kernel_atax,39,0.03639999699999841,100.3653297702541,38,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O2,kernel_atax,97,0.03639999699999841,100.3653297702541,95,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.0,O3,kernel_atax,107,0.03639999699999841,100.3653297702541,105,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O0,kernel_atax,43,0.017066660666680278,100.17095837552512,42,174,6,774,5655,274,5929,27,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O2,kernel_atax,109,0.017066660666680278,100.17095837552512,107,321,74,1482,6471,513,6984,53,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,10,ALL_BRAM,1.75,O3,kernel_atax,119,0.017066660666680278,100.17095837552512,117,385,101,1837,6917,526,7443,68,0,atax_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,10,LSS,1.0,O0,kernel_atax,40,0.03639999699999841,100.3653297702541,46,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,10,LSS,1.0,O2,kernel_atax,96,0.03639999699999841,100.3653297702541,116,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,10,LSS,1.0,O3,kernel_atax,108,0.03639999699999841,100.3653297702541,133,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,10,LSS,1.75,O0,kernel_atax,44,0.017066660666680278,100.17095837552512,50,174,2,839,5923,239,6162,30,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,10,LSS,1.75,O2,kernel_atax,108,0.017066660666680278,100.17095837552512,128,322,64,1675,6773,515,7288,60,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,10,LSS,1.75,O3,kernel_atax,120,0.017066660666680278,100.17095837552512,145,386,78,2159,7219,645,7864,80,0,atax_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.0,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,324,17,1354,6573,443,7016,49,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
atax,MEDIUM,15,ALL_BRAM,1.75,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,388,19,1709,7019,447,7466,64,0,atax_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
atax,MEDIUM,15,LSS,1.0,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
atax,MEDIUM,15,LSS,1.0,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
atax,MEDIUM,15,LSS,1.0,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
atax,MEDIUM,15,LSS,1.75,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
atax,MEDIUM,15,LSS,1.75,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,321,0,1675,6739,468,7207,60,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
atax,MEDIUM,15,LSS,1.75,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,385,0,2159,7185,587,7772,80,0,atax_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O0,kernel_atax,37,0.03639999699999841,100.3653297702541,36,146,0,646,5500,206,5706,20,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O2,kernel_atax,93,0.03639999699999841,100.3653297702541,91,282,5,1316,6275,443,6718,45,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
atax,SMALL,10,ALL_BRAM,1.0,O3,kernel_atax,103,0.03639999699999841,100.3653297702541,101,346,7,1671,6721,447,7168,60,0,atax_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
atax,SMALL,10,ALL_BRAM,1.75,O0,kernel_atax,41,0.017066660666680278,100.17095837552512,40,146,0,646,5500,206,5706,20,0,atax_SMALL_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
atax,SMALL,10,ALL_BRAM,1.75,O2,kernel_atax,105,0.017066660666680278,100.17095837552512,103,282,5,1316,6275,443,6718,45,0,atax_SMALL_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
atax,SMALL,10,ALL_BRAM,1.75,O3,kernel_atax,115,0.017066660666680278,100.17095837552512,113,346,7,1671,6721,447,7168,60,0,atax_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
atax,SMALL,10,LSS,1.0,O0,kernel_atax,40,0.03639999699999841,100.3653297702541,46,146,0,775,5768,239,6007,25,0,atax_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
atax,SMALL,10,LSS,1.0,O2,kernel_atax,94,0.03639999699999841,100.3653297702541,112,280,0,1637,6475,468,6943,56,0,atax_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
atax,SMALL,10,LSS,1.0,O3,kernel_atax,106,0.03639999699999841,100.3653297702541,129,344,0,2121,6921,587,7508,76,0,atax_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
atax,SMALL,10,LSS,1.75,O0,kernel_atax,44,0.017066660666680278,100.17095837552512,50,146,0,775,5768,239,6007,25,0,atax_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
atax,SMALL,10,LSS,1.75,O2,kernel_atax,106,0.017066660666680278,100.17095837552512,124,280,0,1637,6475,468,6943,56,0,atax_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
atax,SMALL,10,LSS,1.75,O3,kernel_atax,118,0.017066660666680278,100.17095837552512,141,344,0,2121,6921,587,7508,76,0,atax_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
atax,SMALL,15,ALL_BRAM,1.0,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,146,0,646,5500,206,5706,20,0,atax_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
atax,SMALL,15,ALL_BRAM,1.0,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,280,0,1316,6207,443,6650,45,0,atax_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
atax,SMALL,15,ALL_BRAM,1.0,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,344,0,1671,6653,447,7100,60,0,atax_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
atax,SMALL,15,ALL_BRAM,1.75,O0,kernel_atax,31,0.0494726426666805,66.88727267600325,30,146,0,646,5500,206,5706,20,0,atax_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
atax,SMALL,15,ALL_BRAM,1.75,O2,kernel_atax,75,0.049472642666623656,66.887272676003,73,280,0,1316,6207,443,6650,45,0,atax_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
atax,SMALL,15,ALL_BRAM,1.75,O3,kernel_atax,85,0.049472642666623656,66.887272676003,83,344,0,1671,6653,447,7100,60,0,atax_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
atax,SMALL,15,LSS,1.0,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,146,0,775,5768,239,6007,25,0,atax_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
atax,SMALL,15,LSS,1.0,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,280,0,1637,6475,468,6943,56,0,atax_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
atax,SMALL,15,LSS,1.0,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,344,0,2121,6921,587,7508,76,0,atax_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
atax,SMALL,15,LSS,1.75,O0,kernel_atax,34,0.0494726426666805,66.88727267600325,40,146,0,775,5768,239,6007,25,0,atax_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
atax,SMALL,15,LSS,1.75,O2,kernel_atax,76,0.049472642666623656,66.887272676003,94,280,0,1637,6475,468,6943,56,0,atax_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
atax,SMALL,15,LSS,1.75,O3,kernel_atax,88,0.049472642666623656,66.887272676003,111,344,0,2121,6921,587,7508,76,0,atax_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.0,O0,kernel_bicg,36,0.03639999699999841,100.3653297702541,34,143,0,725,5510,238,5748,21,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.0,O2,kernel_bicg,41,0.03639999699999841,100.3653297702541,39,211,1,951,5877,239,6116,32,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.0,O3,kernel_bicg,51,0.03639999699999841,100.3653297702541,49,271,7,1274,6327,409,6736,46,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.75,O0,kernel_bicg,40,0.017066660666680278,100.17095837552512,38,143,0,725,5510,238,5748,21,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.75,O2,kernel_bicg,45,0.017066660666680278,100.17095837552512,43,211,1,951,5877,239,6116,32,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
bicg,MEDIUM,10,ALL_BRAM,1.75,O3,kernel_bicg,55,0.017066660666680278,100.17095837552512,53,271,7,1274,6327,409,6736,46,0,bicg_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
bicg,MEDIUM,10,LSS,1.0,O0,kernel_bicg,39,0.03639999699999841,100.3653297702541,45,143,0,758,5778,240,6018,23,0,bicg_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
bicg,MEDIUM,10,LSS,1.0,O2,kernel_bicg,45,0.03639999699999841,100.3653297702541,55,211,0,1080,6145,306,6451,37,0,bicg_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
bicg,MEDIUM,10,LSS,1.0,O3,kernel_bicg,55,0.03639999699999841,100.3653297702541,70,271,2,1596,6595,376,6971,57,0,bicg_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
bicg,MEDIUM,10,LSS,1.75,O0,kernel_bicg,43,0.017066660666680278,100.17095837552512,49,143,0,758,5778,240,6018,23,0,bicg_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
bicg,MEDIUM,10,LSS,1.75,O2,kernel_bicg,49,0.017066660666680278,100.17095837552512,59,211,0,1080,6145,306,6451,37,0,bicg_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
bicg,MEDIUM,10,LSS,1.75,O3,kernel_bicg,59,0.017066660666680278,100.17095837552512,74,271,2,1596,6595,376,6971,57,0,bicg_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.0,O0,kernel_bicg,30,0.0494726426666805,66.88727267600325,28,143,0,725,5510,238,5748,21,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.0,O2,kernel_bicg,35,0.0494726426666805,66.88727267600325,33,211,0,951,5877,239,6116,32,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.0,O3,kernel_bicg,44,0.0494726426666805,66.88727267600325,42,271,0,1338,6327,340,6667,47,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.75,O0,kernel_bicg,30,0.0494726426666805,66.88727267600325,28,143,0,725,5510,238,5748,21,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.75,O2,kernel_bicg,35,0.0494726426666805,66.88727267600325,33,211,0,951,5877,239,6116,32,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
bicg,MEDIUM,15,ALL_BRAM,1.75,O3,kernel_bicg,44,0.0494726426666805,66.88727267600325,42,271,0,1338,6327,340,6667,47,0,bicg_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
bicg,MEDIUM,15,LSS,1.0,O0,kernel_bicg,33,0.0494726426666805,66.88727267600325,39,143,0,758,5778,240,6018,23,0,bicg_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
bicg,MEDIUM,15,LSS,1.0,O2,kernel_bicg,39,0.0494726426666805,66.88727267600325,49,211,0,1080,6145,306,6451,37,0,bicg_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
bicg,MEDIUM,15,LSS,1.0,O3,kernel_bicg,49,0.0494726426666805,66.88727267600325,64,271,0,1596,6595,376,6971,57,0,bicg_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
bicg,MEDIUM,15,LSS,1.75,O0,kernel_bicg,33,0.0494726426666805,66.88727267600325,39,143,0,758,5778,240,6018,23,0,bicg_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
bicg,MEDIUM,15,LSS,1.75,O2,kernel_bicg,39,0.0494726426666805,66.88727267600325,49,211,0,1080,6145,306,6451,37,0,bicg_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
