benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,design_name,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers,dsps,log_file
bicg,MEDIUM,15,LSS,1.75,O3,kernel_bicg,49,0.0494726426666805,66.88727267600325,64,271,0,1596,6595,376,6971,57,0,bicg_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
bicg,SMALL,10,ALL_BRAM,1.0,O0,kernel_bicg,36,0.03639999699999841,100.3653297702541,34,138,0,727,5506,238,5744,21,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
bicg,SMALL,10,ALL_BRAM,1.0,O2,kernel_bicg,41,0.03639999699999841,100.3653297702541,39,206,1,953,5873,239,6112,32,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
bicg,SMALL,10,ALL_BRAM,1.0,O3,kernel_bicg,51,0.03639999699999841,100.3653297702541,49,266,7,1276,6323,409,6732,46,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
bicg,SMALL,10,ALL_BRAM,1.75,O0,kernel_bicg,40,0.017066660666680278,100.17095837552512,38,138,0,727,5506,238,5744,21,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
bicg,SMALL,10,ALL_BRAM,1.75,O2,kernel_bicg,45,0.017066660666680278,100.17095837552512,43,206,1,953,5873,239,6112,32,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
bicg,SMALL,10,ALL_BRAM,1.75,O3,kernel_bicg,55,0.017066660666680278,100.17095837552512,53,266,7,1276,6323,409,6732,46,0,bicg_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
bicg,SMALL,10,LSS,1.0,O0,kernel_bicg,39,0.03639999699999841,100.3653297702541,45,138,0,760,5774,240,6014,23,0,bicg_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
bicg,SMALL,10,LSS,1.0,O2,kernel_bicg,45,0.03639999699999841,100.3653297702541,55,206,0,1082,6141,306,6447,37,0,bicg_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
bicg,SMALL,10,LSS,1.0,O3,kernel_bicg,55,0.03639999699999841,100.3653297702541,70,266,2,1598,6591,376,6967,57,0,bicg_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
bicg,SMALL,10,LSS,1.75,O0,kernel_bicg,43,0.017066660666680278,100.17095837552512,49,138,0,760,5774,240,6014,23,0,bicg_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
bicg,SMALL,10,LSS,1.75,O2,kernel_bicg,49,0.017066660666680278,100.17095837552512,59,206,0,1082,6141,306,6447,37,0,bicg_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
bicg,SMALL,10,LSS,1.75,O3,kernel_bicg,59,0.017066660666680278,100.17095837552512,74,266,2,1598,6591,376,6967,57,0,bicg_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
bicg,SMALL,15,ALL_BRAM,1.0,O0,kernel_bicg,30,0.0494726426666805,66.88727267600325,28,138,0,727,5506,238,5744,21,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
bicg,SMALL,15,ALL_BRAM,1.0,O2,kernel_bicg,35,0.0494726426666805,66.88727267600325,33,206,0,953,5873,239,6112,32,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
bicg,SMALL,15,ALL_BRAM,1.0,O3,kernel_bicg,44,0.0494726426666805,66.88727267600325,42,266,0,1340,6323,340,6663,47,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
bicg,SMALL,15,ALL_BRAM,1.75,O0,kernel_bicg,30,0.0494726426666805,66.88727267600325,28,138,0,727,5506,238,5744,21,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
bicg,SMALL,15,ALL_BRAM,1.75,O2,kernel_bicg,35,0.0494726426666805,66.88727267600325,33,206,0,953,5873,239,6112,32,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
bicg,SMALL,15,ALL_BRAM,1.75,O3,kernel_bicg,44,0.0494726426666805,66.88727267600325,42,266,0,1340,6323,340,6663,47,0,bicg_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
bicg,SMALL,15,LSS,1.0,O0,kernel_bicg,33,0.0494726426666805,66.88727267600325,39,138,0,760,5774,240,6014,23,0,bicg_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
bicg,SMALL,15,LSS,1.0,O2,kernel_bicg,39,0.0494726426666805,66.88727267600325,49,206,0,1082,6141,306,6447,37,0,bicg_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
bicg,SMALL,15,LSS,1.0,O3,kernel_bicg,49,0.0494726426666805,66.88727267600325,64,266,0,1598,6591,376,6967,57,0,bicg_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
bicg,SMALL,15,LSS,1.75,O0,kernel_bicg,33,0.0494726426666805,66.88727267600325,39,138,0,760,5774,240,6014,23,0,bicg_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
bicg,SMALL,15,LSS,1.75,O2,kernel_bicg,39,0.0494726426666805,66.88727267600325,49,206,0,1082,6141,306,6447,37,0,bicg_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
bicg,SMALL,15,LSS,1.75,O3,kernel_bicg,49,0.0494726426666805,66.88727267600325,64,266,0,1598,6591,376,6967,57,0,bicg_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.0,O0,kernel_gemm,37,0.03639999699999841,100.3653297702541,35,199,5,956,6225,139,6364,29,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.0,O2,kernel_gemm,98,0.03639999699999841,100.3653297702541,96,332,47,1588,6862,378,7240,55,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.0,O3,kernel_gemm,131,0.03639999699999841,100.3653297702541,129,378,85,1937,7295,477,7772,68,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.75,O0,kernel_gemm,43,0.017066660666680278,100.17095837552512,41,199,5,956,6225,139,6364,29,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.75,O2,kernel_gemm,120,0.017066660666680278,100.17095837552512,118,332,47,1588,6862,378,7240,55,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
gemm,MEDIUM,10,ALL_BRAM,1.75,O3,kernel_gemm,163,0.017066660666680278,100.17095837552512,161,378,85,1937,7295,477,7772,68,0,gemm_MEDIUM_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,MEDIUM,10,LSS,1.0,O0,kernel_gemm,37,0.03639999699999841,100.3653297702541,40,200,3,988,6527,141,6668,30,0,gemm_MEDIUM_clk10_memLSS_dsp1.0_optO0_log.txt
gemm,MEDIUM,10,LSS,1.0,O2,kernel_gemm,101,0.03639999699999841,100.3653297702541,115,333,20,1652,7164,442,7606,57,0,gemm_MEDIUM_clk10_memLSS_dsp1.0_optO2_log.txt
gemm,MEDIUM,10,LSS,1.0,O3,kernel_gemm,137,0.03639999699999841,100.3653297702541,159,380,85,1937,7631,511,8142,68,0,gemm_MEDIUM_clk10_memLSS_dsp1.0_optO3_log.txt
gemm,MEDIUM,10,LSS,1.75,O0,kernel_gemm,43,0.017066660666680278,100.17095837552512,46,200,3,988,6527,141,6668,30,0,gemm_MEDIUM_clk10_memLSS_dsp1.75_optO0_log.txt
gemm,MEDIUM,10,LSS,1.75,O2,kernel_gemm,123,0.017066660666680278,100.17095837552512,137,333,20,1652,7164,442,7606,57,0,gemm_MEDIUM_clk10_memLSS_dsp1.75_optO2_log.txt
gemm,MEDIUM,10,LSS,1.75,O3,kernel_gemm,169,0.017066660666680278,100.17095837552512,191,380,85,1937,7631,511,8142,68,0,gemm_MEDIUM_clk10_memLSS_dsp1.75_optO3_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.0,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,199,0,956,6225,139,6364,29,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.0,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,332,0,1588,6862,378,7240,55,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.0,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,377,0,1873,7261,511,7772,66,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.75,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,199,0,956,6225,139,6364,29,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.75,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,332,0,1588,6862,378,7240,55,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
gemm,MEDIUM,15,ALL_BRAM,1.75,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,377,0,1873,7261,511,7772,66,0,gemm_MEDIUM_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,MEDIUM,15,LSS,1.0,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,199,0,988,6493,141,6634,30,0,gemm_MEDIUM_clk15_memLSS_dsp1.0_optO0_log.txt
gemm,MEDIUM,15,LSS,1.0,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,332,0,1652,7130,442,7572,57,0,gemm_MEDIUM_clk15_memLSS_dsp1.0_optO2_log.txt
gemm,MEDIUM,15,LSS,1.0,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,377,0,1937,7529,511,8040,68,0,gemm_MEDIUM_clk15_memLSS_dsp1.0_optO3_log.txt
gemm,MEDIUM,15,LSS,1.75,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,199,0,988,6493,141,6634,30,0,gemm_MEDIUM_clk15_memLSS_dsp1.75_optO0_log.txt
gemm,MEDIUM,15,LSS,1.75,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,332,0,1652,7130,442,7572,57,0,gemm_MEDIUM_clk15_memLSS_dsp1.75_optO2_log.txt
gemm,MEDIUM,15,LSS,1.75,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,377,0,1937,7529,511,8040,68,0,gemm_MEDIUM_clk15_memLSS_dsp1.75_optO3_log.txt
gemm,SMALL,10,ALL_BRAM,1.0,O0,kernel_gemm,37,0.03639999699999841,100.3653297702541,35,214,5,958,6237,139,6376,29,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO0_log.txt
gemm,SMALL,10,ALL_BRAM,1.0,O2,kernel_gemm,98,0.03639999699999841,100.3653297702541,96,353,47,1592,6878,378,7256,55,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO2_log.txt
gemm,SMALL,10,ALL_BRAM,1.0,O3,kernel_gemm,131,0.03639999699999841,100.3653297702541,129,404,85,1942,7315,477,7792,68,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.0_optO3_log.txt
gemm,SMALL,10,ALL_BRAM,1.75,O0,kernel_gemm,43,0.017066660666680278,100.17095837552512,41,214,5,958,6237,139,6376,29,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.75_optO0_log.txt
gemm,SMALL,10,ALL_BRAM,1.75,O2,kernel_gemm,120,0.017066660666680278,100.17095837552512,118,353,47,1592,6878,378,7256,55,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.75_optO2_log.txt
gemm,SMALL,10,ALL_BRAM,1.75,O3,kernel_gemm,163,0.017066660666680278,100.17095837552512,161,404,85,1942,7315,477,7792,68,0,gemm_SMALL_clk10_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,SMALL,10,LSS,1.0,O0,kernel_gemm,37,0.03639999699999841,100.3653297702541,40,215,3,990,6539,141,6680,30,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO0_log.txt
gemm,SMALL,10,LSS,1.0,O2,kernel_gemm,101,0.03639999699999841,100.3653297702541,115,354,20,1656,7180,442,7622,57,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO2_log.txt
gemm,SMALL,10,LSS,1.0,O3,kernel_gemm,137,0.03639999699999841,100.3653297702541,159,406,85,1942,7651,511,8162,68,0,gemm_SMALL_clk10_memLSS_dsp1.0_optO3_log.txt
gemm,SMALL,10,LSS,1.75,O0,kernel_gemm,43,0.017066660666680278,100.17095837552512,46,215,3,990,6539,141,6680,30,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO0_log.txt
gemm,SMALL,10,LSS,1.75,O2,kernel_gemm,123,0.017066660666680278,100.17095837552512,137,354,20,1656,7180,442,7622,57,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO2_log.txt
gemm,SMALL,10,LSS,1.75,O3,kernel_gemm,169,0.017066660666680278,100.17095837552512,191,406,85,1942,7651,511,8162,68,0,gemm_SMALL_clk10_memLSS_dsp1.75_optO3_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO0_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,353,0,1592,6878,378,7256,55,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO2_log.txt
gemm,SMALL,15,ALL_BRAM,1.0,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,403,0,1878,7281,511,7792,66,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.0_optO3_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O0,kernel_gemm,29,0.0494726426666805,66.88727267600325,27,214,0,958,6237,139,6376,29,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO0_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O2,kernel_gemm,72,0.049472642666623656,66.887272676003,70,353,0,1592,6878,378,7256,55,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO2_log.txt
gemm,SMALL,15,ALL_BRAM,1.75,O3,kernel_gemm,94,0.049472642666623656,66.887272676003,92,403,0,1878,7281,511,7792,66,0,gemm_SMALL_clk15_memALL_BRAM_dsp1.75_optO3_log.txt
gemm,SMALL,15,LSS,1.0,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO0_log.txt
gemm,SMALL,15,LSS,1.0,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,353,0,1656,7146,442,7588,57,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO2_log.txt
gemm,SMALL,15,LSS,1.0,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,403,0,1942,7549,511,8060,68,0,gemm_SMALL_clk15_memLSS_dsp1.0_optO3_log.txt
gemm,SMALL,15,LSS,1.75,O0,kernel_gemm,30,0.0494726426666805,66.88727267600325,33,214,0,990,6505,141,6646,30,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO0_log.txt
gemm,SMALL,15,LSS,1.75,O2,kernel_gemm,76,0.049472642666623656,66.887272676003,90,353,0,1656,7146,442,7588,57,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO2_log.txt
gemm,SMALL,15,LSS,1.75,O3,kernel_gemm,102,0.04947264266673734,66.8872726760035,124,403,0,1942,7549,511,8060,68,0,gemm_SMALL_clk15_memLSS_dsp1.75_optO3_log.txt
